ubicacion;entidad;codigoAlfanumerico;speakerType;Type;FWVersion;HWVersion;misc;serial;fecha;centroDeCosto;proveedor
BENCH THRA01;;TAU93;;11;;?;;;;01 - IS Exterior;Honda
BENCH THRA01;Amplifier;TAU93;;11;;?;;;;01 - IS Exterior;Honda
BENCH THRA01;Most2Go;NA01;;;;?;;;;01 - IS Exterior;Honda
BENCH THRA01;Harness;THRA;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH THRA01;Hud;NA02;;N/A;;?;;;;01 - IS Exterior;Honda
BENCH THRA01;TCU;NA03;;;;?;;;;01 - IS Exterior;Honda
BENCH THRA01;Mocca;NA04;;;;?;;;;01 - IS Exterior;Honda
;;NA05;;;;;;;;01 - IS Exterior;Honda
BENCH THRA01;Mic;NA06;;;;?;;;;01 - IS Exterior;Honda
BENCH THRA01;Vol Control;NA07;;;;?;;;;01 - IS Exterior;Honda
BENCH THRA01;Call Module;NA08;;;;?;;;;01 - IS Exterior;Honda
BENCH THRA01;Roof Antenna;NA09;;;;?;;;;01 - IS Exterior;Honda
BENCH THRA01;GPS Antenna ID:;NA10;;;;?;;;;01 - IS Exterior;Honda
BENCH THRA01;Steering Wheel Controls;NA11;;;;?;;;;01 - IS Exterior;Honda
BENCH THRA01;Speakers ID And Type:;NA12;17CM,9CM;TBD;;?;;;;01 - IS Exterior;Honda
BENCH THRA01;Observations;NA13;;;;?;;;;01 - IS Exterior;Honda
BENCH THRA01;Remote Tuner;NA14;;;;?;;;;01 - IS Exterior;Honda
BENCH THRA01;Center Display;CTRDSP184;;TBD;;dan1;;;;01 - IS Exterior;Honda
BENCH THRA01;Meter;MTR128;;TBD;;dan0;;;;01 - IS Exterior;Honda
BENCH05;Harness;8;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH51 VALIDATION;Front Control Box;FCB1072;;4GB,64GB;;QC;;1496;;01 - IS Exterior;Honda
BENCH VALIDATION;Amplifier;AMP537;;;HH.23.185.194.01;dan0;MISSING;;;01 - IS Exterior;Honda
BENCH THRA02;Amplifier;TAU75;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH THRA02;Meter;MTR197;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH THRA02;Center Display;CTRDSP190;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH THRA02;Speakers ID And Type:;NA15;17CM,9CM;TBD;;?;;;;01 - IS Exterior;Honda
BENCH47 VALIDATION;Amplifier;AMP545;;16;;dan;;;;01 - IS Exterior;Honda
;;;;;;;;;;01 - IS Exterior;Honda
BENCH05;Most2Go;M2G42;;TBD;;?;;;;01 - IS Exterior;Honda
;;;;;;;;;;01 - IS Exterior;Honda
BENCH24 VALIDATION;Front Control Box;FCB1073;;4GB,64GB;;QC;;1498;;01 - IS Exterior;Honda
BENCH08;Amplifier;AMP233;;16;;1S,TJBA;1S;;;01 - IS Exterior;Honda
BENCH47 VALIDATION;Center Display;CTRDSP687;;TBD;;dan0;;;;01 - IS Exterior;Honda
