ubicacion;entidad;codigoAlfanumerico;speakerType;Type;FWVersion;HWVersion;misc;serial;fecha;centroDeCosto;proveedor
BENCH THRA01;Amplifier;TAU93;;11;;?;;;;01 - IS Exterior;Honda
BENCH THRA01;Harness;THRA;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH THRA01;Speakers ID And Type:;NA01;17CM,9CM;TBD;;?;;;;01 - IS Exterior;Honda
BENCH THRA01;Center Display;CTRDSP184;;TBD;;dan1;;;;01 - IS Exterior;Honda
BENCH THRA01;Meter;MTR128;;TBD;;dan0;;;;01 - IS Exterior;Honda
BENCH THRA01;Front control box;FCB331;;4GB,64GB;;dan1;;8000116;;01 - IS Exterior;Honda
BENCH THRA02;Amplifier;TAU75;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH THRA02;Meter;MTR197;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH THRA02;Center Display;CTRDSP190;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH THRA02;Speakers ID And Type:;NA02;17CM,9CM;TBD;;?;;;;01 - IS Exterior;Honda
BENCH THRA02;Front Control Box;FCB330;;2GB,32GB;;dan1;;8000199;;01 - IS Exterior;Honda
BENCH VALIDATION;Amplifier;AMP537;;;HH.23.185.194.01;dan0;MISSING;;;01 - IS Exterior;Honda
BENCH02;Speakers ID And Type:;NA03;9CM;TBD;;?;;;;01 - IS Exterior;Honda
BENCH01;Touchpad;TP383;;TBD;;dan1;;;;01 - IS Exterior;Honda
BENCH01;Center Display;CTRDSP690;;TBD;;dan0;;;;01 - IS Exterior;Honda
BENCH01;Mic;IMIC07;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH01;Front Control Box;FCB755;;4GB,64GB;;dan0;;58000129;;01 - IS Exterior;Honda
BENCH02;Most2Go;M2G38;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH05;Speakers ID And Type:;NA04;SPKR9T041, 044, SPKR9CM001,17CM009, 17CM016;TBD;;?;;;;01 - IS Exterior;Honda
BENCH02;Touchpad;TP376;;TBD;;dan1;;;;01 - IS Exterior;Honda
BENCH02;Center Display;CTRDSP691;;TBD;;dan0;;;;01 - IS Exterior;Honda
BENCH02;Front control box;FCB958;;4GB,64GB;;DAN0;;58000470;;01 - IS Exterior;Honda
BENCH03;Most2Go;M2G44;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH03;Touchpad;TP136;;TBD;;dan1;;;;01 - IS Exterior;Honda
BENCH03;Center Display;CTRDSP540;;TBD;;dan0;;;;01 - IS Exterior;Honda
BENCH03;Front control box;FCB954;;2GB,32GB;;dan0;;65000009;;01 - IS Exterior;Honda
BENCH04;Most2Go;M2G35;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH04;Touchpad;TP381;;TBD;;DV, TJBA;;;;01 - IS Exterior;Honda
BENCH04;Center Display;CTRDSP534;;TBD;;dan0;;;;01 - IS Exterior;Honda
BENCH04;Front control box;FCB408;;4GB,64GB;;DV, TJBA;;52000051;;01 - IS Exterior;Honda
BENCH05;Front control box;FCB959;;4GB,64GB;;dan0;;62000015;;01 - IS Exterior;Honda
BENCH05;Amplifier;AMP518;;12;;dan0;;;;01 - IS Exterior;Honda
BENCH05;Mocca;1602100128;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH05;Harness;32892-TJBA;;TJBA;;?;;;;01 - IS Exterior;Honda
BENCH05;Roof Antenna;SFA135;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH06;Speakers ID And Type:;NA05;9CM=5,17CM;TBD;;?;;;;01 - IS Exterior;Honda
BENCH05;Remote Tuner;RT218;;TBD;;DV, TJBA;;;;01 - IS Exterior;Honda
BENCH05;Touchpad;TP380;;TBD;C809A461;?;;;;01 - IS Exterior;Honda
BENCH05;Center Display;CTRDSP493;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH05;Meter;MTR377;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH05;Center Display;CTDRSP295;;TBD;;TJBA;PANASONIC;;;01 - IS Exterior;Honda
BENCH06;Most2Go;M2G51;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH06;Touchpad;TP128;;TBD;;DV;;;;01 - IS Exterior;Honda
BENCH06;GPS Antenna ID:;GPS31;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH08;Speakers ID And Type:;NA06;SPKR9T035, 028, 001, 039, 005, 32, SPKR17CM020;TBD;;?;;;;01 - IS Exterior;Honda
BENCH06;Center Display;CTRDSP682;;TBD;;dan0;;;;01 - IS Exterior;Honda
BENCH06;Front control box;FCB353;;4GB,64GB;;DV, TJBA;;47000008;;01 - IS Exterior;Honda
BENCH06;Amplifier;AMP511;;12;;dan0;;;;01 - IS Exterior;Honda
BENCH06;Mic;IMIC15,IMIC17;;;;?;;;;01 - IS Exterior;Honda
BENCH06;Remote Tuner;RT508;;TBD;;dan0;;;;01 - IS Exterior;Honda
BENCH07;Most2Go;M2G40;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH07;Touchpad;TP39;;TBD;;TJBA;;;;01 - IS Exterior;Honda
BENCH07;Center Display;CTRDSP671;;TBD;;dan0;;;;01 - IS Exterior;Honda
BENCH07;Front control box;FCB960;;4GB,64GB;;dan0;;58000442;;01 - IS Exterior;Honda
BENCH08;Amplifier;AMP233;;16;;1S,TJBA;1S;;;01 - IS Exterior;Honda
BENCH08;Mic;MIC003;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH08;Roof Antenna;SFA118;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH10;Speakers ID And Type:;NA07;9CM=2,17CM;TBD;;?;;;;01 - IS Exterior;Honda
BENCH08;Touchpad;TP100;;TBD;;DV, TJBA;;;;01 - IS Exterior;Honda
BENCH08;Hud;HUD059;;N/A;;?;;;;01 - IS Exterior;Honda
BENCH08;Center Display;CTRDSP686;;TBD;;dan0;;;;01 - IS Exterior;Honda
BENCH08;Meter;MTR368;;TBD;GP:  VP: ;dan0;;;;01 - IS Exterior;Honda
BENCH08;Remote Tuner;RT379;;TBD;;dan0;;;;01 - IS Exterior;Honda
BENCH08;Front control box;FCB745;;4GB,64GB;;DV, TJBA;;58000126;;01 - IS Exterior;Honda
BENCH08;Steering Wheel Controls;AST235-CST92-CSS009;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH10;Amplifier;AMP516;;16;;dan0;;;;01 - IS Exterior;Honda
BENCH11;Speakers ID And Type:;NA08;SPKR17CM005, 003, SPKR9T048;TBD;;?;;;;01 - IS Exterior;Honda
BENCH10;Touchpad;TP44;;TBD;;TJBA;;;;01 - IS Exterior;Honda
BENCH10;Roof Antenna;SFA140;;TBD;;MP;;;;01 - IS Exterior;Honda
BENCH10;Mocca;1608080456;;TBD;;N/A;;;;01 - IS Exterior;Honda
BENCH10;Center Display;CTRDSP494;;TBD;;dan0;;;;01 - IS Exterior;Honda
BENCH10;Remote Tuner;RT484;;TBD;;dan0;;;;01 - IS Exterior;Honda
BENCH10;Meter;MTR448;;TBD;GP:  VP: ;dan0;;;;01 - IS Exterior;Honda
BENCH10;Front Control Box;FCB891;;2GB,32GB;;dan0;;80000024;;01 - IS Exterior;Honda
BENCH11;Amplifier;AMP271;;11;;TJBA,db;;;;01 - IS Exterior;Honda
BENCH11;Mocca;1608080533;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH11;Mic;MIC010;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH11;Roof Antenna;SFA126;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH13;Speakers ID And Type:;NA09;SPKR9T006,0020, 17CMXX;TBD;;?;;;;01 - IS Exterior;Honda
BENCH11;TCU;TCU261;;TBD;;QC;;;;01 - IS Exterior;Honda
BENCH11;Touchpad;TP131;;TBD;;DV;;;;01 - IS Exterior;Honda
BENCH11;Center Display;CTRDSP664;;TBD;;DAN0;;;;01 - IS Exterior;Honda
BENCH11;Meter;MTR672;;TBD;GP:  VP: ;dan0;;;;01 - IS Exterior;Honda
BENCH11;Remote Tuner;RT216;;TBD;;DV, TJBA;;;;01 - IS Exterior;Honda
BENCH11;Front control box;FCB434;;2GB,32GB;;DV, TJBA;;53000017;;01 - IS Exterior;Honda
BENCH13;Amplifier;AMP536;;TBD;;dan0;;;;01 - IS Exterior;Honda
BENCH13;Mocca;1602100143;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH13;Hud;HUD074;;N/A;;DAN0;;;;01 - IS Exterior;Honda
BENCH13;Mic;MIC018;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH14;Speakers ID And Type:;NA10;SPKR17CM001, 9CM002;TBD;;?;;;;01 - IS Exterior;Honda
BENCH13;Touchpad;TP349;;TBD;;DAN0;;;;01 - IS Exterior;Honda
BENCH13;Center Display;CTRDSP669;;TBD;;dan0;;;;01 - IS Exterior;Honda
BENCH13;Meter;MTR641;;TBD;;dan0;;;;01 - IS Exterior;Honda
BENCH13;Remote Tuner;RT287;;TBD;;dan0;;;;01 - IS Exterior;Honda
BENCH13;Front control box;FCB961;;4GB,64GB;;dan0;;58000540;;01 - IS Exterior;Honda
BENCH14;Amplifier;AMP533;;TBD;;dan0;;;;01 - IS Exterior;Honda
BENCH14;Most2Go;M2G57;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH15;Speakers ID And Type:;NA11;"SPKR17CM024, SPKR9T033	, SPKR9T022,17CM,9CM";TBD;;?;;;;01 - IS Exterior;Honda
BENCH14;Touchpad;TP353;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH14;Mocca;1608080459;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH14;Center Display;CTRDSP492;;TBD;;dan0;;;;01 - IS Exterior;Honda
