ubicacion;entidad;codigoAlfanumerico;speakerType;Type;FWVersion;HWVersion;misc;serial;fecha;centroDeCosto;proveedor
STOCK;Center Display;CTRDSP209;;IC4;;TJBA;;;;01 - IS Exterior;Honda
STOCK;Center Display;CTRDSP211;;IC4;;TJBA;;;;01 - IS Exterior;Honda
STOCK;Center Display;CTRDSP212;;IC4;;TJBA;;;;01 - IS Exterior;Honda
STOCK;Front Control Box;FCB892;;2GB,TBD;;dan0;;80000046;;01 - IS Exterior;Honda
STOCK;Center Display;CTRDSP215;;IC4;;TJBA;;;;01 - IS Exterior;Honda
STOCK;Center Display;CTRDSP216;;IC4;;TJBA;;;;01 - IS Exterior;Honda
STOCK;Center Display;CTRDSP217;;IC4;;TJBA;;;;01 - IS Exterior;Honda
STOCK;Center Display;CTRDSP219;;IC4;;TJBA;;;;01 - IS Exterior;Honda
STOCK;Center Display;CTRDSP229;;IC4;;TJBA;;;;01 - IS Exterior;Honda
STOCK;Center Display;CTRDSP231;;IC4;;TJBA;;;;01 - IS Exterior;Honda
STOCK;Center Display;CTRDSP233;;IC4;;TJBA;;;;01 - IS Exterior;Honda
STOCK;Center Display;CTRDSP234;;IC4;;TJBA;;;;01 - IS Exterior;Honda
STOCK;Center Display;CTRDSP236;;IC4;;TJBA;;;;01 - IS Exterior;Honda
STOCK;Center Display;CTRDSP245;;IC4;;TJBA;;;;01 - IS Exterior;Honda
STOCK;Center Display;CTRDSP246;;IC4;;TJBA;;;;01 - IS Exterior;Honda
STOCK;Center Display;CTRDSP287;;TBD;;TJBA;;;;01 - IS Exterior;Honda
STOCK;Center Display;CTRDSP291;;TBD;;1S, TJBA;;;;01 - IS Exterior;Honda
STOCK;Center Display;CTRDSP550;;TBD;;dan0;;;;01 - IS Exterior;Honda
STOCK;Front control box;FCB895;;2GB,32GB;;dan0;;80000020;;01 - IS Exterior;Honda
STOCK;Center Display;CTRDSP746;;TBD;;dan1;;;;01 - IS Exterior;Honda
STOCK;Center Display;CTRDSP292;;TBD;;1s,TJBA;;;;01 - IS Exterior;Honda
STOCK;GPS Antenna ID:;GPS37;;TBD;;?;;;;01 - IS Exterior;Honda
STOCK;GPS Antenna ID:;GPS47;;TBD;;?;;;;01 - IS Exterior;Honda
STOCK;GPS Antenna ID:;GPS26;;TBD;;?;;;;01 - IS Exterior;Honda
STOCK;GPS Antenna ID:;GPS40;;TBD;;?;;;;01 - IS Exterior;Honda
STOCK;GPS Antenna ID:;GPS38;;TBD;;?;;;;01 - IS Exterior;Honda
STOCK;HUD;HUD063;;N/A;;DAN0;;;;01 - IS Exterior;Honda
STOCK;HUD;HUD066;;N/A;;DAN0;;;;01 - IS Exterior;Honda
STOCK;HUD;HUD038;;N/A;;DAN0;;;;01 - IS Exterior;Honda
STOCK;HUD;HUD068;;N/A;;DAN0;;;;01 - IS Exterior;Honda
STOCK;HUD;HUD072;;N/A;;DAN0;;;;01 - IS Exterior;Honda
STOCK;Remote Tuner;RT393;;TBD;;dan0;MISSING;;;01 - IS Exterior;Honda
STOCK;HUD;HUD073;;N/A;;DAN0;;;;01 - IS Exterior;Honda
STOCK;HUD Switch;HUDADJ01;;;;?;;;;01 - IS Exterior;Honda
STOCK;HUD Switch;HUDADJ02;;;;?;;;;01 - IS Exterior;Honda
STOCK;HUD Switch;HUDADJ03;;;;?;;;;01 - IS Exterior;Honda
STOCK;HUD Switch;HUDADJ04;;;;?;;;;01 - IS Exterior;Honda
STOCK;HUD Switch;HUDADJ05;;;;?;;;;01 - IS Exterior;Honda
STOCK;HUD Switch;HUDADJ06;;;;?;;;;01 - IS Exterior;Honda
STOCK;HUD Switch;HUDADJ07;;;;?;;;;01 - IS Exterior;Honda
STOCK;HUD Switch;HUDADJ08;;;;?;;;;01 - IS Exterior;Honda
STOCK;HUD Switch;HUDADJ09;;;;?;;;;01 - IS Exterior;Honda
STOCK;HUD Switch;HUDADJ10;;;;?;;;;01 - IS Exterior;Honda
STOCK;HUD Switch;HUDADJ11;;;;?;;;;01 - IS Exterior;Honda
STOCK;HUD Switch;HUDADJ12;;;;?;;;;01 - IS Exterior;Honda
STOCK;HUD Switch;HUDADJ13;;;;?;;;;01 - IS Exterior;Honda
STOCK;HUD Switch;HUDADJ14;;;;?;;;;01 - IS Exterior;Honda
STOCK;Mic;IMIC19;;;;?;;;;01 - IS Exterior;Honda
STOCK;Touchpad;TP347;;TBD;;DAN0;MISSING;;;01 - IS Exterior;Honda
STOCK;Mic;IMIC16;;;;?;;;;01 - IS Exterior;Honda
